respondent_id,persona_label,Q1_age_group,Q2_gender,Q3_state,Q4_city_tier,Q5_education,Q6_occupation,Q_hh_size,Q_hh_type,Q_children_under15,Q_waste_segregation,Q_purchase_decision_maker,Q7_income_band,Q7_income_midpoint_INR,Q8_monthly_spend_band,Q8_spend_midpoint_INR,Q9_willingness_to_pay_premium,Q10_eco_awareness_1to5,Q11_reduce_plastic_freq,Q12_prior_eco_purchase,Q13_products_interested,Q14_clothing_types,Q15_cookware_types,Q16_colour_preference,Q17_purchase_occasions,Q18_primary_channel,Q19_top3_purchase_factors,Q20_shopping_frequency,Q21_bundle_deal_appeal_1to5,Q22_social_media_channels,Q23_eco_label_influence_1to5,Q24_purchase_barrier,Q25_purchase_likelihood,Q25_purchase_binary
R0001,Price-Sensitive Middle India,26-35,Male,Punjab,Tier-2 city,12th / Diploma,Back-to-school,3,Joint family,0.0,Sometimes,Self,15000-30000,22500,5001-10000,7500,Only if cheaper,3,Sometimes,Yes once or twice,Outdoor Garden Furniture | Storage Organisers,Silk/Banarasi sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Aluminium,White/Off-white | Earthy tones | Dark/Neutral,Back-to-school,Local market / Kirana,Friends/Family recommendation | Design/Aesthetics | Quality/Durability,Once every 3 months,4,Instagram | YouTube | WhatsApp groups | Meesho/ShareChat,4,Higher price,Unlikely,0
R0002,High-Income Premium Buyer,26-35,Male,Odisha,Metro,Undergraduate,Back-to-school,4,Joint family,0.0,Yes,Elders / Family head,Above 100000,130000,500-2000,1250,Same price,4,Always / It's a habit,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Stationery/School Supplies,Salwar suits/Kurtis | Western wear,Ceramic-coated,Dark/Neutral,Festivals | Wedding/family function | Back-to-school | Sale events,Quick commerce (Blinkit/Zepto),Brand trust | Eco-friendly credentials | Design/Aesthetics,2-3 times a month,3,WhatsApp groups,3,Doubt about quality,Unlikely,0
R0003,Traditional Joint Family,36-50,Female,Andhra Pradesh,Rural / Village,Up to 10th,When product breaks/runs out,3,Joint family,3.0,Sometimes,Elders / Family head,15000-30000,22500,2001-5000,3500,Up to 25% more,3,Sometimes,No but interested,Storage Organisers,Cotton sarees | Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Stainless steel | Aluminium,Bright/Vibrant,Festivals | Wedding/family function | Sale events,Online Amazon/Flipkart,Friends/Family recommendation | Design/Aesthetics | Eco-friendly credentials,Once a month,3,Facebook,2,Higher price,Unlikely,0
R0004,Student Young Urban,18-25,Male,Delhi,Metro,Undergraduate,Festivals,3,Joint family,0.0,Yes,Self,60001-100000,80000,2001-5000,3500,Up to 25% more,1,Always / It's a habit,No but interested,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Stainless steel | Ceramic-coated | Clay/Terracotta,Dark/Neutral | Pastels | White/Off-white,Festivals | New home/shifting | Back-to-school,Quick commerce (Blinkit/Zepto),Price/Affordability | Design/Aesthetics | Quality/Durability,Once a month,2,Instagram | YouTube | WhatsApp groups,4,Distrust eco-claims (greenwashing),Unlikely,0
R0005,Urban Eco Millennial,36-50,Male,Karnataka,Metro,Postgraduate or above,Back-to-school,2,Nuclear,0.0,Yes,Partner / Spouse,60001-100000,80000,Above 10000,12000,Up to 25% more,5,Often,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel | Aluminium | Clay/Terracotta,Dark/Neutral | Pastels,Festivals | New home/shifting | Sale events,Modern retail (D-Mart etc.),Eco-friendly credentials | Price/Affordability | Quality/Durability,2-3 times a month,4,Instagram | YouTube,5,No barrier - would buy,Very likely,1
R0006,Urban Eco Millennial,26-35,Male,Karnataka,Tier-2 city,Undergraduate,New home/shifting,3,Nuclear,0.0,Yes,Both equally,30001-60000,45000,500-2000,1250,Up to 25% more,5,Always / It's a habit,Yes once or twice,rPET Bottles/Containers | Storage Organisers,Salwar suits/Kurtis | Formal office wear,Non-stick (Teflon) | Stainless steel | Ceramic-coated,Pastels,When product breaks/runs out,Online Amazon/Flipkart,Eco-friendly credentials | Quality/Durability | Price/Affordability,Once every 3 months,4,Instagram | YouTube,4,Doubt about quality,Neutral,0
R0007,Urban Eco Millennial,36-50,Male,Uttar Pradesh,Metro,Postgraduate or above,Wedding/family function,2,Nuclear,0.0,Yes,Both equally,60001-100000,80000,2001-5000,3500,Up to 10% more,5,Often,Yes once or twice,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers,Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Non-stick (Teflon) | Stainless steel | Aluminium,Pastels,Back-to-school | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Price/Affordability | Quality/Durability | Eco-friendly credentials,Once a month,5,Instagram | WhatsApp groups,4,No barrier - would buy,Very likely,1
R0008,Traditional Joint Family,Above 50,Female,Karnataka,Tier-3 town,Undergraduate,Wedding/family function,4,Nuclear,2.0,Sometimes,Both equally,Above 100000,130000,5001-10000,7500,Up to 10% more,3,Often,Yes once or twice,Outdoor Garden Furniture | Storage Organisers | Agri Crates/Tools,Silk/Banarasi sarees | Synthetic/polyester sarees,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Clay/Terracotta,Bright/Vibrant,Festivals | Wedding/family function | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Price/Affordability | Brand trust | Friends/Family recommendation,Once a month,5,Instagram | YouTube | WhatsApp groups | Don't use social for discovery,2,Higher price,Unlikely,0
R0009,Student Young Urban,26-35,Male,Maharashtra,Tier-3 town,Up to 10th,When product breaks/runs out,3,Joint family,,No,Both equally,30001-60000,45000,2001-5000,3500,Same price,4,Often,No but interested,Stationery/School Supplies,Cotton sarees | Salwar suits/Kurtis | Western wear | Formal office wear,Stainless steel,Pastels | Bright/Vibrant | Earthy tones,Festivals | Back-to-school,Online Amazon/Flipkart,Eco-friendly credentials | Price/Affordability | Design/Aesthetics,Once every 3 months,3,Instagram | WhatsApp groups,2,Distrust eco-claims (greenwashing),Unlikely,0
R0010,Traditional Joint Family,Above 50,Female,Tamil Nadu,Tier-3 town,Up to 10th,When product breaks/runs out,3,Joint family,1.0,No,Elders / Family head,Below 15000,10000,2001-5000,3500,Same price,1,Sometimes,Yes regularly,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Non-stick (Teflon) | Aluminium,Earthy tones,Festivals | Wedding/family function | Back-to-school,D2C brand website,Price/Affordability | Design/Aesthetics | Eco-friendly credentials,Once every 3 months,5,YouTube | Facebook | WhatsApp groups | Meesho/ShareChat,3,Doubt about quality,Unlikely,0
R0011,Urban Eco Millennial,36-50,Male,Kerala,Tier-2 city,Undergraduate,Wedding/family function,3,Joint family,0.0,Yes,Both equally,60001-100000,80000,500-2000,1250,Up to 25% more,5,Often,Yes once or twice,rPET Bottles/Containers | Storage Organisers | Stationery/School Supplies,Silk/Banarasi sarees | Synthetic/polyester sarees | Salwar suits/Kurtis | Western wear,Iron/Cast iron | Non-stick (Teflon) | Stainless steel | Ceramic-coated | Aluminium,Pastels | Earthy tones | White/Off-white,Back-to-school,Online Amazon/Flipkart,Quality/Durability | Brand trust | Design/Aesthetics,Rarely / Only when needed,3,,5,No barrier - would buy,Very likely,1
R0012,High-Income Premium Buyer,36-50,Male,West Bengal,Metro,Undergraduate,New home/shifting,2,Nuclear,2.0,Yes,Self,Above 100000,130000,Above 10000,12000,More than 25% premium,5,Often,No but interested,rPET Bottles/Containers | Outdoor Garden Furniture | Storage Organisers | Stationery/School Supplies,Salwar suits/Kurtis,Stainless steel | Ceramic-coated,Earthy tones | White/Off-white | Bright/Vibrant,Wedding/family function | Sale events | When product breaks/runs out,Online Amazon/Flipkart,Quality/Durability | Brand trust | Design/Aesthetics,Once a month,1,Instagram | YouTube | Facebook,5,Higher price,Likely,1
R0013,Traditional Joint Family,Above 50,Male,Chhattisgarh,Rural / Village,Undergraduate,When product breaks/runs out,4,Joint family,2.0,Sometimes,Self,30001-60000,45000,Above 10000,12000,Same price,4,Often,No and not interested,Stationery/School Supplies,Cotton sarees | Synthetic/polyester sarees | Salwar suits/Kurtis,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium | Clay/Terracotta,White/Off-white | Bright/Vibrant | No preference,Festivals | New home/shifting | Wedding/family function | Back-to-school,Local market / Kirana,Price/Affordability | Quality/Durability | Friends/Family recommendation,Once a month,3,Facebook | WhatsApp groups,3,Higher price,Unlikely,0
R0014,Price-Sensitive Middle India,26-35,Female,Uttar Pradesh,Tier-2 city,12th / Diploma,New home/shifting,1,Nuclear,3.0,No,Elders / Family head,30001-60000,45000,500-2000,1250,Up to 10% more,3,Often,Yes once or twice,rPET Bottles/Containers,Salwar suits/Kurtis | Formal office wear,Iron/Cast iron | Stainless steel | Ceramic-coated | Aluminium,Bright/Vibrant,Wedding/family function | Sale events | When product breaks/runs out,Modern retail (D-Mart etc.),Price/Affordability | Friends/Family recommendation | Brand trust,Weekly,2,Instagram | YouTube | Facebook | WhatsApp groups,2,Higher price,Very unlikely,0
